27.06.2021,EL AL,TLV,DXB,nonstop,3h 05m,488
27.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,514
27.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,517
27.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,526
27.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,594
