13.06.2021,EL AL,TLV,DXB,nonstop,3h 05m,436
13.06.2021,Arkia,TLV,DXB,nonstop,4h 00m,462
13.06.2021,ISRAIR,TLV,DXB,nonstop,3h 35m,463
13.06.2021,ISRAIR,TLV,DXB,nonstop,3h 35m,463
13.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,473
13.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,536
13.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,436
13.06.2021,flydubai,TLV,DXB,nonstop,3h 20m,609
